Song,Count
Take The A Train,13
Autumn Leaves,12
St Thomas,12
All Blues,10
Blue Monk,10
Cherokee,10
Corcovado,10
On Green Dolphin Street,10
Black Orpheus,8
Lucky Southern,8
Misty,8
Night In Tunisia,8
Billie's Bounce,7
Blue Bossa,7
Bye Bye Blackbird,7
Footprints,7
How High The Moon,7
I Wish I Knew How It Would Feel To Be Free,7
Moanin',7
Softly As In A Morning Sunrise,7
Song For My Father,7
Summertime,7
There Will Never Be Another You,7
Watermelon Man,7
Well You Needn't,7
Afro Blue,6
All Of Me,6
Caravan,6
Desafinado,6
Doxy,6
Epistrophy,6
Girl From Ipanema,6
Invitation,6
Recordame,6
Equinox,5
Foggy Day,5
Stella By Starlight,5
Take Five,5
There Is No Greater Love,5
Anthropology,4
Bye-Ya,4
Fly Me To the Moon,4
Four,4
I Hear A Rhapsody,4
It Could Happen To You,4
Lover Man,4
Mr P.C.,4
So What,4
Solar,4
Some Day My Prince Will Come,4
Tenor Madness,4
The Chicken,4
Yesterdays,4
500 Miles High,3
All The Things You Are,3
Broadway,3
Chameleon,3
Comes Love,3
Days Of Wine And Roses,3
Georgia,3
Have You Met Miss Jones,3
Lady Bird,3
Love For Sale,3
Lullaby Of Birdland,3
My Little Suede Shoes,3
Night and Day,3
Straight No Chaser,3
You Don't Know What Love Is,3
Bags Groove,2
Beautiful Love,2
Beyond The Sea,2
Black Nile,2
Blue Bolivar Blues,2
Blues For Alice,2
Cantaloupe Island,2
Come Rain Or Come Shine,2
Cousin Mary,2
Do Nothing Till You Hear From Me,2
Freddie Freeloader,2
Groovin' High,2
Honeysuckle Rose,2
I Thought About You,2
If I Were A Bell,2
Just Friends,2
Mercy Mercy Mercy,2
Nardis,2
Nature Boy,2
No Moon At All,2
On A Slow Boat To China,2
On The Sunny Side Of The Street,2
Our Love Is Here To Stay,2
Reflections,2
Rhythm A Ning,2
Round Midnight,2
Satin Doll,2
Tune up,2
What A Difference A Day Makes,2
What Is This Thing Called Love,2
Afternoon In Paris,1
Alice In Wonderland,1
Alone Together,1
Angel Eyes,1
Ask Me Now,1
Basin Street Blues,1
Beatrice,1
Besame Mucho,1
Bessies Blues,1
Birk's Works,1
Black Coffee,1
Blue In Green,1
Blue Train,1
Body And Soul,1
Buzzy,1
Can't Help Lovin That Man,1
Can't Take That Away From Me,1
Central Park West,1
Cheek To Cheek,1
Confirmation,1
Countdown,1
Darn That Dream,1
Dont' Get Around Much Any More,1
Embraceable You,1
ESP,1
Everything Happens To Me,1
Fee Fi Fo Fum,1
Five Spot After Dark,1
For Heaven's Sake,1
Four on Six,1
Gee Baby Ain't I Good To You,1
Giant Steps,1
Good Bait,1
Hackensack,1
Here's That Rainy Day,1
How Insensitive,1
I Got Rhythm,1
I Should Care,1
It Don't Mean A Thing,1
Joy Spring,1
Jumpin' With Symphony Sid,1
Let's Face the Music and Dance,1
Little Sunflower,1
Locomotion,1
Moondance,1
Moonglow,1
My Buddy,1
My Favourite Things,1
My Shining Hour,1
Night Dreamer,1
Nutty,1
O Grande Amor,1
One Note Samba,1
Orange Colored Sky,1
Ornithology,1
Red Baron,1
Ruby My Dear,1
Sandu,1
Speak No Evil,1
Stolen Moments,1
Strasbourg St Denis,1
Taking A Chance On Love,1
Tangerine,1
Tenderly,1
The Lady Is A Tramp,1
Wave,1
What A Little Moonlight Can Do,1
When I Fall In Love,1
Who Can I Turn To,1
Woody'n You,1
Work Song,1
You Stepped Out Of A Dream,1
